,word,ls_word_acc,cr_word_acc,ls_word_count,cr_word_count
1698,chanticleer,0.0,0.0,1,1
1702,chare,0.0,0.0,1,1
1707,charter,0.0,100.0,1,1
1729,chile,0.0,0.0,1,1
1730,chimaera,0.0,0.0,1,1
1731,ching,0.0,0.0,1,1
1732,chirk,0.0,0.0,1,1
1733,chirrup,0.0,0.0,1,1
1743,churning,0.0,0.0,1,1
1746,chute,0.0,0.0,1,1
1750,cincture,0.0,0.0,1,1
1752,cinque,0.0,0.0,1,1
1755,cistern,0.0,0.0,1,1
1757,cite,0.0,0.0,1,1
1759,citizeness,0.0,0.0,1,1
1761,clairvoyance,0.0,0.0,1,1
1762,clam,0.0,0.0,1,1
1767,clapt,0.0,0.0,1,1
1772,clavecin,0.0,0.0,1,1
1774,cleat,0.0,0.0,1,1
1775,climbable,0.0,100.0,1,1
1780,clockwork,0.0,100.0,1,1
1782,cloistered,0.0,100.0,1,1
1786,cloudland,0.0,0.0,1,1
1787,clout,0.0,0.0,1,1
1788,clove,0.0,0.0,1,1
1789,cloven,0.0,0.0,1,1
1792,clutter,0.0,0.0,1,1
1797,cobble,0.0,0.0,1,1
1803,cocotte,0.0,0.0,1,1
1804,codfish,0.0,0.0,1,1
1806,coexistence,0.0,100.0,1,1
1807,cognate,0.0,100.0,1,1
1808,cognisance,0.0,0.0,1,1
1809,coign,0.0,0.0,1,1
1810,coil,0.0,100.0,1,1
1811,coinage,0.0,100.0,1,1
1814,collared,0.0,0.0,1,1
1815,collectedly,0.0,0.0,1,1
1817,colorlessly,0.0,100.0,1,1
1820,columella,0.0,100.0,1,1
1821,columned,0.0,0.0,1,1
1825,comet,0.0,0.0,1,1
1828,communicable,0.0,100.0,1,1
1840,concentric,0.0,0.0,1,1
1845,confidant,0.0,100.0,1,1
1847,conflux,0.0,100.0,1,1
1850,conjugally,0.0,100.0,1,1
1854,connote,0.0,0.0,1,1
1859,consul,0.0,0.0,1,1
1860,consulate,0.0,100.0,1,1
1861,consumer,0.0,0.0,1,1
1867,conventicle,0.0,100.0,1,1
1874,copal,0.0,0.0,1,1
1875,cordillera,0.0,0.0,1,1
1885,coronal,0.0,0.0,1,1
1888,cos,0.0,0.0,1,1
1892,costumier,0.0,100.0,1,1
1895,cottonwood,0.0,0.0,1,1
1901,counselor,0.0,0.0,1,1
1903,countercurrent,0.0,0.0,1,1
1904,counterwork,0.0,100.0,1,1
1921,crayon,0.0,100.0,1,1
